0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,5,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,10,10,2,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,9,6,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,9,5,5
0,0,0,0,0,0,0,0,0,8,10,2,0,0,0,0,0,0,0,0,11,2,0,0,0,9,5,6,10,10
5,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,2,0,0,0,0,0,0,8,10
10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,5,6,0,0,0,0,0,0,0,0,8,10
2,0,0,0,0,0,0,0,0,9,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10
2,0,0,0,0,0,0,0,0,8,10,3,0,0,0,0,0,0,0,0,0,9,5,5,1,0,0,9,6,10
3,0,0,0,0,0,9,1,0,7,10,4,5,5,5,5,5,5,5,5,5,6,10,10,3,0,0,7,10,10
4,5,5,5,5,5,6,4,5,6,10,10,10,10,10,10,10,10,10,10,10,10,10,10,4,5,5,6,10,10
